Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,internal_id (metadata),created_by (metadata),location_id (metadata),user_id (metadata)
price_1RjQ4LDffY6JnI6O9p50j8W7,prod_STE50pty4hV8A0,Skills Academy,,,Monthly (Special Assistance),2025-07-10 19:23,233.00,usd,month,1,licensed,,per_unit,,unspecified,684793eeba025893f0050847,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ4BDffY6JnI6OPniy7yfX,prod_STE50pty4hV8A0,Skills Academy,,,(Monthly Elite),2025-07-10 19:23,244.00,usd,month,1,licensed,,per_unit,,unspecified,684793eeba0258dd47050845,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ4BDffY6JnI6OKO8cZZsa,prod_STE50pty4hV8A0,Skills Academy,,,Monthly (Elite),2025-07-10 19:23,244.00,usd,month,1,licensed,,per_unit,,unspecified,684793eeba0258dd47050845,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ3xDffY6JnI6O8vUzkpqS,prod_STE50pty4hV8A0,Skills Academy,,,Monthly,2025-07-10 19:23,213.00,usd,month,1,licensed,,per_unit,,unspecified,684793eeba02585a0705083f,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ37DffY6JnI6Ofg0WKoQI,prod_STE50pty4hV8A0,Skills Academy,,,6 Months (Save $40.00),2025-07-10 19:22,1238.00,usd,month,6,licensed,,per_unit,,unspecified,684793eeba02588f33050843,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ2CDffY6JnI6OZ842lStT,prod_STE50pty4hV8A0,Skills Academy,,,3 Months (Save $34.00),2025-07-10 19:21,605.00,usd,month,3,licensed,,per_unit,,unspecified,684793eeba025884bd050841,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjPmpDffY6JnI6OAqGrzwbl,prod_STE50pty4hV8A0,Skills Academy,,,3 Months (Save $34.00),2025-07-10 19:05,605.00,usd,month,3,licensed,,per_unit,,unspecified,684793eeba025884bd050841,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1Rj8lPDffY6JnI6OqPTZB1Dr,prod_STEhRUl2UuMFkq,Youth Club,,,6 Months (Save $391.00),2025-07-10 00:55,1709.00,usd,month,6,licensed,,per_unit,,unspecified,68479ce6d4deb83c8a3a8977,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1Rj8ixDffY6JnI6OGmi15UCG,prod_STEhRUl2UuMFkq,Youth Club,,,6 Months,2025-07-10 00:52,1709.00,usd,month,6,licensed,,per_unit,,unspecified,68479ce6d4deb83c8a3a8977,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1Rj8iWDffY6JnI6Oo2wzomfb,prod_STEhRUl2UuMFkq,Youth Club,,,6 Months (Save $391.00),2025-07-10 00:52,1709.00,usd,month,6,licensed,,per_unit,,unspecified,68479ce6d4deb83c8a3a8977,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1Rj8hsDffY6JnI6OrvAatlhv,prod_STEhRUl2UuMFkq,Youth Club,,,3 Months (Save $114.00),2025-07-10 00:51,936.00,usd,month,3,licensed,,per_unit,,unspecified,68479ce6d4deb804453a8975,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1Rj8fvDffY6JnI6OnFUMpuhD,prod_STEhRUl2UuMFkq,Youth Club,,,(Discounted 6 Months),2025-07-10 00:49,1709.00,usd,month,6,licensed,,per_unit,,unspecified,68479ce6d4deb83c8a3a8977,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1Rj8fuDffY6JnI6OUIOoE0yl,prod_STEhRUl2UuMFkq,Youth Club,,,(Discounted 3 Months),2025-07-10 00:49,936.00,usd,month,3,licensed,,per_unit,,unspecified,68479ce6d4deb804453a8975,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
